pwsid,pwsname,pctpov,pcthisp,health,medianincomehouse,violation,pcthisp_bin,pctpov_bin
AL0000088,LOUISVILLE WATER WORKS,35.900001525878906,16.756755828857422,0,28472,FALSE,"(10,20]","(30,40]"
AL0000088,LOUISVILLE WATER WORKS,44.099998474121094,9.498208045959473,0,21458,FALSE,"(0,10]","(40,50]"
AL0000088,LOUISVILLE WATER WORKS,42,6.6783833503723145,0,21563,FALSE,"(0,10]","(40,50]"
AL0000088,LOUISVILLE WATER WORKS,47.599998474121094,7.8947367668151855,0,21071,FALSE,"(0,10]","(40,50]"
AL0000091,BRENT UTILITIES BOARD,18.600000381469727,0,0,35044,FALSE,"(-10,0]","(10,20]"
AL0000091,BRENT UTILITIES BOARD,26.700000762939453,0.45624223351478577,0,34408,FALSE,"(0,10]","(20,30]"
AL0000091,BRENT UTILITIES BOARD,29,0.5335522294044495,0,28640,FALSE,"(0,10]","(20,30]"
AL0000091,BRENT UTILITIES BOARD,27.200000762939453,0.4886988401412964,0,25652,FALSE,"(0,10]","(20,30]"
AL0000092,CENTREVILLE WATER & SEWER,15.899999618530272,4.550418853759766,0,31642,FALSE,"(0,10]","(10,20]"
AL0000092,CENTREVILLE WATER & SEWER,28.299999237060547,8.870384216308594,0,24773,FALSE,"(0,10]","(20,30]"
AL0000092,CENTREVILLE WATER & SEWER,26.200000762939453,4.813608169555664,0,21864,FALSE,"(0,10]","(20,30]"
AL0000092,CENTREVILLE WATER & SEWER,22.5,0,0,30852,FALSE,"(-10,0]","(20,30]"
AL0000094,HARRISBURG WATER AUTHORITY,18.600000381469727,0,0,35044,FALSE,"(-10,0]","(10,20]"
AL0000094,HARRISBURG WATER AUTHORITY,26.700000762939453,0.45624223351478577,0,34408,FALSE,"(0,10]","(20,30]"
AL0000097,WEST BLOCTON WATER WORKS,11.399999618530272,0.18416206538677216,0,34844,FALSE,"(0,10]","(10,20]"
AL0000097,WEST BLOCTON WATER WORKS,13.800000190734863,2.4299066066741943,0,35588,FALSE,"(0,10]","(10,20]"
AL0000097,WEST BLOCTON WATER WORKS,21.200000762939453,1.8396846055984497,0,34205,FALSE,"(0,10]","(20,30]"
AL0000097,WEST BLOCTON WATER WORKS,29.299999237060547,1.3031550645828247,0,34375,FALSE,"(0,10]","(20,30]"
AL0000100,BLOUNTSVILLE UTILITIES BOARD,18.200000762939453,20.83333396911621,0,25238,FALSE,"(20,30]","(10,20]"
AL0000100,BLOUNTSVILLE UTILITIES BOARD,24.100000381469727,18.33030891418457,0,28164,FALSE,"(10,20]","(20,30]"
AL0000100,BLOUNTSVILLE UTILITIES BOARD,36.20000076293945,18.72391128540039,1,30817,TRUE,"(10,20]","(30,40]"
AL0000100,BLOUNTSVILLE UTILITIES BOARD,39,11.97141170501709,0,30114,FALSE,"(10,20]","(30,40]"
AL0000101,CLEVELAND WATER WORKS,15.5,23.36336326599121,0,46786,FALSE,"(20,30]","(10,20]"
AL0000101,CLEVELAND WATER WORKS,12.600000381469728,22.94871711730957,0,49464,FALSE,"(20,30]","(10,20]"
AL0000101,CLEVELAND WATER WORKS,18.100000381469727,23.493976593017575,0,34567,FALSE,"(20,30]","(10,20]"
AL0000101,CLEVELAND WATER WORKS,17.700000762939453,20.60027313232422,0,43750,FALSE,"(20,30]","(10,20]"
AL0000102,HAYDEN WATER WORKS,23.5,1.0849909782409668,0,31042,FALSE,"(0,10]","(20,30]"
AL0000102,HAYDEN WATER WORKS,13.600000381469728,1.313628911972046,0,48601,FALSE,"(0,10]","(10,20]"
